id,password,email,campus_id,name,school,limit,role,is_active,is_verified
2,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,gstrickland@somesite.net,20019674,Guy Strickland,OE,4,ADM,True,True
3,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,jmcleod@gmail.com,20129404,Javier Mcleod,SE,4,ADM,True,True
4,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,gmcdonald@random.org,20004378,Gladys Mcdonald,OE,5,STA,True,True
5,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cray@gmail.com,20181078,Coleen Ray,AUTO,1,STA,True,True
6,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,hrice@gmail.com,20144081,Heather G. Rice,CS,5,STA,True,True
7,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,asolomon@gmail.com,20062279,Alba Solomon,SE,5,STA,True,True
8,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,asanford@cqu.edu.cn,20029896,Agnes Sanford,OE,5,STA,True,True
9,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dbernard@random.org,20207617,Denise Bernard,CE,4,STA,True,True
10,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cdrake@gmail.com,20059211,Clarice Drake,OE,4,TEA,True,True
11,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kwillis@random.org,20033921,Katina Willis,AUTO,0,TEA,True,True
12,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lsmall@gmail.com,20132482,Lydia Small,SE,0,TEA,True,True
13,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cleblanc@somesite.net,20012981,Camille Leblanc,CS,4,TEA,True,True
14,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lfischer@random.org,20144949,Lindsay Fischer,SE,1,TEA,True,True
15,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,droth@somesite.net,20129079,Dale Roth,SE,1,TEA,True,True
